id,user_id,challenge_type,attempts,accuracy,success,completion_time,completed_at
1,1,math,3,0.65,True,28.2,2026-07-19 17:03:25.905260
2,1,math,2,0.67,True,37.1,2026-07-13 23:03:25.905260
3,1,logic,1,0.75,True,11.4,2026-07-12 04:03:25.905260
4,1,riddle,1,0.51,False,33.9,2026-07-24 06:03:25.905260
5,1,memory,3,0.53,True,12.4,2026-07-13 02:03:25.905260
6,1,logic,2,0.97,False,17.9,2026-07-17 10:03:25.905260
7,1,pattern,3,0.76,True,18.4,2026-07-19 19:03:25.907733
8,1,math,3,0.51,True,12.3,2026-07-19 17:03:25.907733
9,1,memory,2,0.99,False,32.0,2026-07-23 03:03:25.907733
10,1,logic,1,0.96,False,31.5,2026-07-12 06:03:25.907733
11,1,logic,1,0.35,True,32.5,2026-07-13 16:03:25.907733
12,1,pattern,3,0.76,True,25.7,2026-07-21 17:03:25.907733
13,1,logic,3,0.72,True,34.1,2026-07-14 00:03:25.907733
14,1,riddle,1,0.37,True,40.8,2026-07-11 21:03:25.907733
15,1,logic,1,0.6,False,30.0,2026-07-15 10:03:25.907733
16,1,pattern,2,0.35,True,5.2,2026-07-14 18:03:25.907733
17,1,riddle,3,0.69,True,32.4,2026-07-17 17:03:25.907733
18,1,logic,2,0.8,True,18.6,2026-07-10 22:03:25.907733
19,1,pattern,1,0.68,False,36.7,2026-07-23 08:03:25.907733
20,1,math,3,0.35,True,38.6,2026-07-24 07:03:25.907733
21,1,riddle,1,0.62,True,27.1,2026-07-23 22:03:25.907733
22,1,math,3,0.33,True,41.1,2026-07-17 04:03:25.907733
23,1,memory,3,0.69,False,15.8,2026-07-18 08:03:25.907733
24,1,logic,1,0.34,True,14.5,2026-07-13 19:03:25.907733
25,1,math,3,0.99,True,32.4,2026-07-18 21:03:25.907733
26,1,pattern,1,0.32,False,9.8,2026-07-16 10:03:25.907733
27,1,riddle,3,0.4,True,31.4,2026-07-21 15:03:25.907733
28,1,math,3,0.32,True,41.9,2026-07-12 01:03:25.907733
29,1,riddle,2,0.68,False,37.4,2026-07-12 22:03:25.907733
30,1,logic,3,0.85,True,23.0,2026-07-19 05:03:25.907733
31,1,pattern,3,0.31,True,36.0,2026-07-15 04:03:25.907733
32,1,pattern,2,0.94,False,19.8,2026-07-21 23:03:25.907733
33,1,math,1,0.42,True,31.1,2026-07-18 13:03:25.907733
34,1,math,1,0.64,True,25.0,2026-07-20 11:03:25.907733
35,1,logic,2,0.53,True,40.8,2026-07-11 04:03:25.907733
36,1,pattern,3,0.4,False,6.8,2026-07-23 06:03:25.907733
37,1,logic,3,0.57,False,26.7,2026-07-18 00:03:25.907733
38,1,riddle,1,0.85,True,12.9,2026-07-11 18:03:25.907733
39,1,logic,1,0.95,True,41.1,2026-07-11 02:03:25.907733
40,1,logic,2,0.88,True,19.5,2026-07-12 10:03:25.907733
42,1,math,1,1.0,True,15.0,2026-07-24 12:03:25.909742
43,1,logic,1,0.5,False,10.0,2026-07-24 12:03:25.909742
